epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.0252,1.57611,2.33468,1.4574,0.68544,0.23744,0.20811,0.09982,1.26202,1.82235,1.53331,0.000544553,0.000544553,0.000544553
2,27.1991,1.15922,1.06606,1.11428,0.04138,0.12606,0.01132,0.00406,2.77775,65.9896,3.28043,0.00108933,0.00108933,0.00108933
3,39.2513,1.15677,1.07386,1.11993,0.36757,0.33982,0.32619,0.14719,1.46017,1.90975,1.4588,0.0016231,0.0016231,0.0016231
4,51.4633,1.19592,1.10269,1.14147,0.38496,0.63919,0.33875,0.20598,1.1224,9.25513,1.27,0.00161749,0.00161749,0.00161749
5,63.9017,1.0755,0.98652,1.08952,0.58983,0.58094,0.58362,0.36548,1.00237,1.55169,1.05214,0.00160099,0.00160099,0.00160099
6,76.1852,1.0371,0.91871,1.07214,0.74392,0.71882,0.76036,0.48484,0.96501,0.77593,0.9926,0.00158448,0.00158448,0.00158448
7,88.4368,1.03465,0.90445,1.06592,0.74661,0.82065,0.81818,0.5763,0.79399,0.63295,0.8676,0.00156798,0.00156798,0.00156798
8,100.441,0.98639,0.83222,1.04911,0.86979,0.75896,0.8456,0.60609,0.79778,0.5878,0.85452,0.00155148,0.00155148,0.00155148
9,112.724,1.01889,0.87355,1.05653,0.79894,0.75936,0.80998,0.54172,0.9136,0.64308,0.90449,0.00153497,0.00153497,0.00153497
10,124.524,0.94893,0.8384,1.02896,0.90315,0.70802,0.78124,0.56091,0.76152,0.68545,0.9067,0.00151847,0.00151847,0.00151847
11,136.35,0.97635,0.81302,1.04168,0.81416,0.72531,0.85884,0.61792,0.77515,0.66817,0.82974,0.00150197,0.00150197,0.00150197
12,148.251,0.95633,0.77106,1.03833,0.89843,0.83013,0.88497,0.66201,0.7332,0.50513,0.81779,0.00148546,0.00148546,0.00148546
13,160.415,0.9499,0.83798,1.03802,0.89009,0.81096,0.88404,0.64101,0.7758,0.50811,0.81196,0.00146896,0.00146896,0.00146896
14,172.006,0.92087,0.77155,1.02452,0.89824,0.86589,0.91342,0.67489,0.73154,0.47938,0.81414,0.00145246,0.00145246,0.00145246
15,183.94,0.92392,0.76824,1.02775,0.8472,0.81532,0.84643,0.63217,0.71052,0.52132,0.81921,0.00143595,0.00143595,0.00143595
16,195.64,0.87881,0.73736,1.01152,0.90484,0.85855,0.90427,0.6757,0.70313,0.46138,0.80759,0.00141945,0.00141945,0.00141945
17,207.78,0.91572,0.75452,1.03101,0.88101,0.83215,0.88327,0.66564,0.70919,0.49725,0.80969,0.00140295,0.00140295,0.00140295
18,219.905,0.87913,0.70395,1.00856,0.90347,0.86391,0.92037,0.71265,0.6464,0.4273,0.78053,0.00138644,0.00138644,0.00138644
19,232.161,0.85865,0.7142,1.00071,0.90073,0.86715,0.92417,0.69993,0.69489,0.44008,0.787,0.00136994,0.00136994,0.00136994
20,244.336,0.82241,0.70278,0.98764,0.79791,0.88236,0.90623,0.69417,0.66444,0.48843,0.78025,0.00135344,0.00135344,0.00135344
21,256.361,0.84254,0.67871,1.00092,0.82201,0.85099,0.91081,0.71136,0.63592,0.50242,0.77586,0.00133693,0.00133693,0.00133693
22,268.489,0.85959,0.70496,0.99956,0.91604,0.86264,0.92839,0.7113,0.65891,0.42166,0.76582,0.00132043,0.00132043,0.00132043
23,280.597,0.87317,0.73028,1.01874,0.88829,0.89836,0.92675,0.72877,0.64498,0.40145,0.77134,0.00130393,0.00130393,0.00130393
24,292.82,0.82495,0.68925,1.00291,0.91056,0.88237,0.94254,0.74215,0.62356,0.3952,0.76045,0.00128742,0.00128742,0.00128742
25,305.428,0.8139,0.67076,1.00648,0.83841,0.83289,0.91785,0.71746,0.6113,0.47444,0.74816,0.00127092,0.00127092,0.00127092
26,317.604,0.78362,0.63583,0.99182,0.94323,0.8483,0.9237,0.72388,0.64087,0.41846,0.76671,0.00125442,0.00125442,0.00125442
27,329.435,0.79083,0.62199,0.9868,0.93762,0.8946,0.93349,0.74138,0.61841,0.37976,0.76938,0.00123791,0.00123791,0.00123791
28,341.438,0.82255,0.63932,0.99481,0.91963,0.91905,0.94393,0.75758,0.61511,0.38613,0.76336,0.00122141,0.00122141,0.00122141
29,353.911,0.76696,0.64531,0.9734,0.9113,0.90935,0.93669,0.76263,0.58286,0.38223,0.7385,0.00120491,0.00120491,0.00120491
30,366.057,0.80799,0.65555,0.99349,0.93543,0.89949,0.94604,0.77335,0.57905,0.3558,0.73595,0.0011884,0.0011884,0.0011884
31,378.293,0.80765,0.65812,0.99476,0.93287,0.90267,0.9413,0.72767,0.65182,0.37948,0.7509,0.0011719,0.0011719,0.0011719
32,389.975,0.78059,0.61548,0.9788,0.94229,0.89752,0.92549,0.75008,0.59052,0.3661,0.73078,0.0011554,0.0011554,0.0011554
33,402.277,0.78742,0.59176,0.97687,0.91171,0.89878,0.93321,0.75184,0.58495,0.36105,0.74405,0.00113889,0.00113889,0.00113889
34,415.277,0.76913,0.61085,0.97625,0.91499,0.88844,0.935,0.75722,0.58566,0.36825,0.72881,0.00112239,0.00112239,0.00112239
35,427.092,0.74548,0.58398,0.96386,0.94146,0.9138,0.94155,0.75188,0.61403,0.34893,0.74705,0.00110589,0.00110589,0.00110589
36,438.941,0.73433,0.58707,0.96369,0.8505,0.87268,0.92184,0.75083,0.59226,0.4132,0.73941,0.00108938,0.00108938,0.00108938
37,450.998,0.74482,0.5966,0.9703,0.89459,0.89869,0.94655,0.77476,0.55835,0.37413,0.72336,0.00107288,0.00107288,0.00107288
38,463.065,0.72869,0.56866,0.96989,0.91966,0.89453,0.92635,0.75774,0.57031,0.37319,0.7364,0.00105638,0.00105638,0.00105638
39,475.255,0.7587,0.57207,0.96996,0.92369,0.92658,0.94429,0.75313,0.59782,0.3536,0.73756,0.00103987,0.00103987,0.00103987
40,487.137,0.72992,0.5506,0.95984,0.90959,0.91045,0.9395,0.77837,0.55244,0.33683,0.72553,0.00102337,0.00102337,0.00102337
41,499.46,0.73057,0.55661,0.96937,0.92503,0.92419,0.94946,0.77595,0.57301,0.3359,0.7243,0.00100687,0.00100687,0.00100687
42,511.325,0.72554,0.58451,0.9645,0.9607,0.92194,0.95188,0.785,0.55348,0.32203,0.73162,0.000990365,0.000990365,0.000990365
43,523.316,0.72841,0.58097,0.97482,0.92442,0.90071,0.94433,0.7775,0.5538,0.35346,0.72012,0.000973861,0.000973861,0.000973861
44,535.245,0.70507,0.52813,0.95564,0.94196,0.91897,0.94708,0.7874,0.53607,0.32284,0.71807,0.000957358,0.000957358,0.000957358
45,547.355,0.67669,0.52057,0.95147,0.92865,0.92954,0.95665,0.78953,0.54091,0.30972,0.71975,0.000940855,0.000940855,0.000940855
46,559.19,0.68702,0.53254,0.9471,0.92796,0.91121,0.95094,0.78448,0.54294,0.31814,0.71629,0.000924352,0.000924352,0.000924352
47,570.792,0.72046,0.52537,0.95986,0.90279,0.8984,0.93847,0.773,0.54597,0.35816,0.71695,0.000907848,0.000907848,0.000907848
48,582.48,0.72167,0.54892,0.9649,0.92724,0.92109,0.94488,0.79302,0.51506,0.31585,0.70749,0.000891345,0.000891345,0.000891345
49,594.556,0.67285,0.50479,0.93718,0.94666,0.91524,0.94899,0.79342,0.51394,0.31108,0.70526,0.000874842,0.000874842,0.000874842
50,606.702,0.70123,0.5302,0.95644,0.92044,0.92737,0.95076,0.78736,0.5457,0.31865,0.71758,0.000858338,0.000858338,0.000858338
51,618.346,0.67993,0.52101,0.9594,0.97399,0.92263,0.95563,0.79379,0.52683,0.29605,0.71537,0.000841835,0.000841835,0.000841835
52,630.41,0.68587,0.51446,0.96223,0.93517,0.90976,0.94625,0.79473,0.51589,0.31653,0.70645,0.000825332,0.000825332,0.000825332
53,643.117,0.69838,0.53356,0.97414,0.9456,0.9354,0.95994,0.80755,0.51737,0.29616,0.71092,0.000808828,0.000808828,0.000808828
54,655.384,0.66997,0.51706,0.95752,0.91453,0.90145,0.95569,0.79202,0.52724,0.33663,0.71134,0.000792325,0.000792325,0.000792325
55,667.34,0.66463,0.50865,0.94541,0.92853,0.94331,0.95707,0.78867,0.52264,0.30721,0.70574,0.000775822,0.000775822,0.000775822
56,679.312,0.65701,0.47223,0.94345,0.93248,0.92591,0.95898,0.79974,0.51417,0.31254,0.70608,0.000759318,0.000759318,0.000759318
57,691.305,0.65742,0.48421,0.9474,0.95035,0.92787,0.95543,0.79356,0.51718,0.29699,0.70592,0.000742815,0.000742815,0.000742815
58,702.977,0.66512,0.5156,0.9521,0.92042,0.95113,0.95933,0.80304,0.52018,0.29839,0.70586,0.000726312,0.000726312,0.000726312
59,714.804,0.64589,0.51896,0.93918,0.92334,0.91113,0.95199,0.80511,0.50795,0.3147,0.70568,0.000709809,0.000709809,0.000709809
60,726.727,0.64377,0.4839,0.9409,0.96288,0.93172,0.9481,0.80142,0.51489,0.29146,0.70664,0.000693305,0.000693305,0.000693305
61,738.725,0.63658,0.47144,0.9416,0.95463,0.94025,0.96684,0.81912,0.50395,0.2794,0.70229,0.000676802,0.000676802,0.000676802
62,750.989,0.60981,0.45104,0.92142,0.95245,0.91721,0.96292,0.81189,0.51143,0.28819,0.7007,0.000660299,0.000660299,0.000660299
63,762.983,0.61955,0.46018,0.9304,0.93484,0.94027,0.95977,0.80734,0.49139,0.29397,0.692,0.000643795,0.000643795,0.000643795
64,774.951,0.60573,0.45892,0.93679,0.94985,0.95061,0.96258,0.81257,0.49652,0.27334,0.70262,0.000627292,0.000627292,0.000627292
65,786.984,0.59901,0.46462,0.92226,0.94727,0.92737,0.96084,0.80947,0.49969,0.28358,0.69786,0.000610789,0.000610789,0.000610789
66,798.828,0.60072,0.44533,0.93715,0.95978,0.93706,0.95814,0.81531,0.50312,0.27607,0.70142,0.000594286,0.000594286,0.000594286
67,811.01,0.6177,0.4654,0.93657,0.92951,0.94692,0.96798,0.82074,0.49966,0.27492,0.6925,0.000577782,0.000577782,0.000577782
68,822.85,0.62201,0.44257,0.93616,0.96153,0.9375,0.95719,0.80875,0.50143,0.27677,0.69718,0.000561279,0.000561279,0.000561279
69,834.84,0.60898,0.44702,0.9255,0.95298,0.93653,0.96404,0.81942,0.49716,0.27901,0.70427,0.000544776,0.000544776,0.000544776
70,846.655,0.61777,0.43336,0.94087,0.9472,0.93464,0.96599,0.81957,0.49486,0.27963,0.6966,0.000528272,0.000528272,0.000528272
71,858.519,0.62202,0.45805,0.94134,0.95318,0.93042,0.96314,0.81899,0.48822,0.27846,0.69302,0.000511769,0.000511769,0.000511769
72,870.296,0.59794,0.41547,0.92141,0.95025,0.93295,0.96241,0.8266,0.47928,0.26258,0.69025,0.000495266,0.000495266,0.000495266
73,882.365,0.5883,0.43029,0.92727,0.9398,0.95545,0.96611,0.82023,0.49623,0.27492,0.69651,0.000478762,0.000478762,0.000478762
